proposal_id,stem,class_id,class_name,confidence,x1,y1,x2,y2,decision,review_note
1,000025,2,TrafficLight,0.490067,0,299,21,341,pending,
2,000030,3,TrafficSign,0.297094,389,344,399,361,pending,
3,000044,3,TrafficSign,0.573071,333,342,347,360,pending,
4,000044,3,TrafficSign,0.169176,772,270,794,311,pending,
5,000046,3,TrafficSign,0.502926,323,341,338,361,pending,
6,000057,3,TrafficSign,0.341324,255,337,269,362,pending,
7,000057,3,TrafficSign,0.159403,803,261,827,296,pending,
8,000067,3,TrafficSign,0.272303,159,329,180,361,pending,
9,000073,3,TrafficSign,0.184141,77,324,100,358,pending,
10,000104,2,TrafficLight,0.239905,54,112,79,162,pending,
11,000114,2,TrafficLight,0.153097,941,292,953,318,pending,
12,000127,2,TrafficLight,0.246375,885,279,897,305,pending,
13,000142,2,TrafficLight,0.492882,967,256,982,287,pending,
14,000142,2,TrafficLight,0.361062,650,296,661,318,pending,
15,000146,2,TrafficLight,0.186379,651,294,661,316,pending,
16,000159,2,TrafficLight,0.427347,981,253,994,285,pending,
17,000159,2,TrafficLight,0.306243,1265,36,1279,79,pending,
18,000163,2,TrafficLight,0.588429,1265,218,1279,279,pending,
19,000163,2,TrafficLight,0.219424,824,306,838,331,pending,
20,000163,2,TrafficLight,0.196584,723,289,732,313,pending,
21,000166,2,TrafficLight,0.303354,830,304,841,329,pending,
22,000166,2,TrafficLight,0.292212,725,288,734,311,pending,
23,000167,2,TrafficLight,0.703169,1009,243,1025,277,pending,
24,000167,2,TrafficLight,0.286461,725,289,733,313,pending,
25,000175,2,TrafficLight,0.511984,841,302,853,328,pending,
26,000175,2,TrafficLight,0.393346,728,282,737,306,pending,
27,000216,2,TrafficLight,0.158272,631,256,641,277,pending,
28,000220,2,TrafficLight,0.257849,1255,268,1279,323,pending,
29,000223,3,TrafficSign,0.650795,333,222,358,246,pending,
30,000225,3,TrafficSign,0.194428,326,217,356,243,pending,
31,000233,3,TrafficSign,0.476212,0,154,36,199,pending,
32,000234,2,TrafficLight,0.440489,896,280,914,327,pending,
33,000238,2,TrafficLight,0.30575,836,281,853,327,pending,
34,000250,2,TrafficLight,0.182016,655,278,673,325,pending,
35,000252,2,TrafficLight,0.169355,624,277,642,323,pending,
36,000270,2,TrafficLight,0.382181,286,255,312,317,pending,
37,000271,2,TrafficLight,0.366262,264,253,289,313,pending,
38,000271,2,TrafficLight,0.34606,1250,164,1279,206,pending,
39,000274,2,TrafficLight,0.205883,196,246,224,313,pending,
40,000276,2,TrafficLight,0.294169,153,239,184,311,pending,
41,000281,3,TrafficSign,0.188398,1169,269,1190,299,pending,
42,000284,3,TrafficSign,0.151624,1165,267,1201,299,pending,
43,000296,3,TrafficSign,0.500992,1139,241,1179,290,pending,
44,000300,3,TrafficSign,0.180237,1128,240,1164,288,pending,
45,000322,2,TrafficLight,0.194494,1031,298,1045,335,pending,
46,000332,2,TrafficLight,0.232186,955,304,969,330,pending,
47,000344,3,TrafficSign,0.354466,136,302,162,340,pending,
48,000363,2,TrafficLight,0.221478,1028,237,1051,263,pending,
49,000367,2,TrafficLight,0.239344,1030,231,1064,273,pending,
50,000370,2,TrafficLight,0.298331,1025,228,1062,263,pending,
51,000387,2,TrafficLight,0.152795,1054,186,1100,234,pending,
52,000459,2,TrafficLight,0.268575,361,248,378,285,pending,
53,000459,2,TrafficLight,0.166728,67,252,81,291,pending,
54,000464,2,TrafficLight,0.258264,336,285,356,323,pending,
55,000470,2,TrafficLight,0.237655,324,237,339,282,pending,
56,000473,2,TrafficLight,0.175401,301,280,325,321,pending,
57,000517,2,TrafficLight,0.150497,526,295,538,322,pending,
58,000618,2,TrafficLight,0.619137,183,258,216,310,pending,
59,000623,2,TrafficLight,0.245786,176,256,211,308,pending,
60,000643,2,TrafficLight,0.180555,273,203,293,254,pending,
61,000650,2,TrafficLight,0.175195,259,197,281,250,pending,
62,000654,2,TrafficLight,0.373497,252,192,273,245,pending,
63,000654,2,TrafficLight,0.260838,350,294,362,322,pending,
64,000655,2,TrafficLight,0.271789,346,292,361,321,pending,
65,000658,2,TrafficLight,0.418675,245,190,267,243,pending,
66,000663,2,TrafficLight,0.337824,233,185,256,238,pending,
67,000663,2,TrafficLight,0.334486,55,233,75,294,pending,
68,000663,2,TrafficLight,0.190007,325,288,340,319,pending,
69,000671,2,TrafficLight,0.241186,216,177,239,236,pending,
70,000677,2,TrafficLight,0.302463,202,172,226,231,pending,
71,000686,2,TrafficLight,0.512231,222,266,241,310,pending,
72,000686,2,TrafficLight,0.303317,153,158,179,222,pending,
73,000692,2,TrafficLight,0.44661,390,229,403,263,pending,
74,000692,2,TrafficLight,0.307897,171,257,195,305,pending,
75,000699,2,TrafficLight,0.238906,351,219,367,257,pending,
76,000701,2,TrafficLight,0.335936,87,245,112,299,pending,
77,000701,2,TrafficLight,0.325895,335,219,351,254,pending,
78,000704,2,TrafficLight,0.366893,46,239,70,291,pending,
79,000714,2,TrafficLight,0.57258,229,193,248,237,pending,
80,000714,2,TrafficLight,0.171266,397,198,413,240,pending,
81,000746,2,TrafficLight,0.158357,471,72,488,105,pending,
82,000747,2,TrafficLight,0.43154,438,55,455,88,pending,
83,000747,2,TrafficLight,0.395137,1139,284,1153,315,pending,
84,000747,2,TrafficLight,0.264019,1233,276,1250,305,pending,
85,000754,2,TrafficLight,0.184399,827,270,850,324,pending,
86,000758,2,TrafficLight,0.403724,729,269,753,325,pending,
87,000758,3,TrafficSign,0.301134,0,221,28,250,pending,
88,000758,2,TrafficLight,0.262549,302,162,327,218,pending,
