action,review_id,stem,line,old_class,new_class
drop,87,000273,2,2,
drop,88,000273,3,2,
drop,89,000273,4,2,
drop,90,000274,2,2,
drop,91,000276,2,2,
drop,92,000281,2,2,
drop,93,000281,3,2,
drop,94,000281,4,2,
drop,95,000284,2,2,
drop,96,000296,2,2,
drop,97,000322,4,2,
drop,100,000323,5,2,
drop,101,000344,4,2,
drop,102,000352,4,2,
drop,103,000352,5,2,
drop,104,000370,4,2,
drop,105,000373,4,2,
drop,106,000373,5,2,
drop,107,000379,3,2,
drop,108,000389,3,2,
drop,109,000432,4,2,
drop,110,000459,7,2,
drop,111,000464,7,2,
drop,112,000469,7,2,
drop,114,000473,7,2,
drop,115,000473,8,2,
drop,117,000546,6,2,
drop,119,000549,6,2,
drop,121,000551,6,2,
drop,123,000558,6,2,
drop,125,000565,6,2,
drop,127,000570,6,2,
drop,129,000574,6,2,
drop,131,000580,6,2,
drop,133,000591,6,2,
drop,135,000603,6,2,
drop,137,000604,6,2,
drop,139,000616,6,2,
drop,147,000655,6,2,
drop,148,000655,7,2,
drop,151,000663,6,2,
drop,152,000665,5,2,
drop,155,000665,8,2,
drop,159,000671,7,2,
drop,175,000699,8,2,
drop,176,000699,9,2,
drop,177,000699,10,2,
drop,183,000701,8,2,
drop,184,000701,9,2,
drop,191,000704,10,2,
drop,196,000714,7,2,
drop,203,000718,9,2,
drop,210,000721,9,2,
drop,217,000733,9,2,
drop,220,000733,12,2,
drop,221,000733,13,2,
drop,222,000733,14,2,
drop,226,000735,7,2,
drop,230,000735,11,2,
drop,235,000746,9,2,
drop,236,000746,10,2,
drop,240,000747,7,2,
drop,241,000747,8,2,
drop,245,000754,8,2,
drop,247,000758,10,2,
drop,248,000758,11,2,
drop,251,000759,11,2,
drop,252,000759,12,2,
drop,256,000777,12,2,
drop,258,000781,10,2,
drop,262,000786,10,2,
drop,265,000786,13,2,
drop,269,000791,13,2,
drop,279,000824,11,2,
drop,280,000824,12,2,
reclassify,284,000825,11,2,3
reclassify,288,000826,10,2,3
drop,289,000826,11,2,
drop,293,000828,10,2,
drop,298,000841,10,2,
drop,307,000854,10,2,
drop,319,000867,12,2,
drop,342,000906,11,2,
drop,347,000907,11,2,
drop,351,000913,10,2,
drop,354,000947,10,2,
drop,355,000947,11,2,
drop,363,000964,12,2,
drop,370,000974,12,2,
reclassify,371,000974,13,2,3
drop,378,000978,13,2,
reclassify,380,000978,15,2,3
drop,383,000982,11,2,
reclassify,386,000982,14,2,3
drop,387,000982,15,2,
drop,391,000983,12,2,
drop,395,000986,12,2,
reclassify,396,000986,13,2,3
add,11,000114,,,2
add,12,000127,,,2
add,13,000142,,,2
add,14,000142,,,2
add,15,000146,,,2
add,16,000159,,,2
add,18,000163,,,2
add,19,000163,,,2
add,20,000163,,,2
add,21,000166,,,2
add,22,000166,,,2
add,23,000167,,,2
add,24,000167,,,2
add,25,000175,,,2
add,26,000175,,,2
add,29,000223,,,3
add,30,000225,,,3
add,31,000233,,,3
add,45,000322,,,2
add,57,000517,,,2
add,64,000655,,,2
add,71,000686,,,2
add,73,000692,,,2
add,74,000692,,,2
add,75,000699,,,2
add,76,000701,,,2
add,77,000701,,,2
add,78,000704,,,2
add,79,000714,,,2
add,80,000714,,,2
add,82,000747,,,2
add,83,000747,,,2
add,84,000747,,,2
add,91,000786,,,2
add,94,000826,,,2
add,97,000983,,,2
