epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5352,1.21017,1.7798,0.94933,0.85317,0.2608,0.28955,0.16427,1.87959,1.66731,0.91044,0.00041369,0.00041369,0.00041369
2,101.069,1.04063,1.00807,0.8754,0.64325,0.28644,0.3001,0.16489,1.86407,1.27305,0.88655,0.000809806,0.000809806,0.000809806
3,147.975,0.98455,0.82069,0.85737,0.60532,0.26038,0.24338,0.14008,1.85934,1.40923,0.89273,0.0011853,0.0011853,0.0011853
4,194.942,0.92825,0.69651,0.84629,0.60351,0.26344,0.26343,0.1522,1.81661,1.2731,0.89124,0.00115719,0.00115719,0.00115719
5,239.874,0.89326,0.62335,0.83845,0.62042,0.28294,0.27614,0.16209,1.78461,1.13941,0.89231,0.00112625,0.00112625,0.00112625
6,285.729,0.84194,0.56551,0.82851,0.32564,0.31055,0.29642,0.16942,1.78143,1.07329,0.88127,0.00109531,0.00109531,0.00109531
7,333.059,0.81017,0.53429,0.82444,0.41784,0.45939,0.42549,0.19564,1.76481,0.90295,0.87708,0.00106437,0.00106437,0.00106437
8,380.128,0.78556,0.50767,0.8195,0.61067,0.29621,0.29717,0.17194,1.7282,1.04138,0.8809,0.00103344,0.00103344,0.00103344
9,426.183,0.777,0.49636,0.81796,0.65318,0.33637,0.35114,0.20245,1.65439,0.87548,0.87406,0.0010025,0.0010025,0.0010025
10,472.555,0.76366,0.48378,0.8158,0.80268,0.35609,0.39324,0.20124,1.65581,0.8774,0.86844,0.000971562,0.000971562,0.000971562
11,518.645,0.74706,0.46805,0.8084,0.76726,0.31554,0.33168,0.1816,1.66439,1.09588,0.87507,0.000940625,0.000940625,0.000940625
12,564.822,0.7155,0.4466,0.80641,0.4581,0.47408,0.44673,0.2176,1.60838,0.8546,0.87563,0.000909688,0.000909688,0.000909688
13,71.8637,0.73591,0.46081,0.81145,0.79894,0.3242,0.36883,0.19318,1.69626,0.88163,0.85077,0.00087875,0.00087875,0.00087875
14,144.377,0.71532,0.44346,0.8118,0.36981,0.30674,0.32617,0.18767,1.65219,0.92229,0.86149,0.000847813,0.000847813,0.000847813
15,216.47,0.70613,0.4343,0.80369,0.88422,0.41222,0.46098,0.21559,1.62432,0.8486,0.84718,0.000816875,0.000816875,0.000816875
16,286.408,0.68364,0.41746,0.80357,0.84755,0.2993,0.36869,0.19194,1.58712,0.90169,0.85725,0.000785938,0.000785938,0.000785938
17,357.96,0.67279,0.41171,0.80218,0.77224,0.33718,0.41594,0.23115,1.60346,0.84829,0.85649,0.000755,0.000755,0.000755
18,428.467,0.66559,0.40271,0.79832,0.82193,0.37863,0.43211,0.2417,1.51974,0.81126,0.85236,0.000724062,0.000724062,0.000724062
19,498.679,0.66434,0.40367,0.79584,0.85762,0.36839,0.41531,0.22233,1.62076,0.84086,0.85752,0.000693125,0.000693125,0.000693125
20,568.693,0.6342,0.38457,0.79564,0.78357,0.39436,0.41382,0.21297,1.53366,0.84555,0.84878,0.000662188,0.000662188,0.000662188
21,637.744,0.62703,0.3824,0.79272,0.79305,0.38669,0.41679,0.21125,1.55011,0.84395,0.85291,0.00063125,0.00063125,0.00063125
22,705.284,0.62254,0.37976,0.7921,0.84614,0.33351,0.38009,0.20423,1.51499,0.83409,0.84775,0.000600313,0.000600313,0.000600313
23,773.559,0.61357,0.36768,0.78759,0.7254,0.40129,0.42618,0.21238,1.59817,0.90127,0.85021,0.000569375,0.000569375,0.000569375
24,842.1,0.60855,0.36385,0.78878,0.71898,0.4995,0.47015,0.21538,1.55361,0.87489,0.85815,0.000538438,0.000538438,0.000538438
25,910.755,0.60336,0.36357,0.78777,0.77581,0.35498,0.38264,0.21513,1.54691,0.85679,0.83897,0.0005075,0.0005075,0.0005075
26,979.658,0.58112,0.35178,0.78513,0.73395,0.35171,0.38833,0.21642,1.53026,0.81499,0.84585,0.000476562,0.000476562,0.000476562
27,1047.6,0.57466,0.34719,0.78684,0.80282,0.4292,0.44392,0.21887,1.52414,0.82038,0.85228,0.000445625,0.000445625,0.000445625
28,1116.5,0.56997,0.34341,0.78224,0.79699,0.40289,0.4347,0.23361,1.54874,0.82475,0.85935,0.000414688,0.000414688,0.000414688
29,1188.73,0.55844,0.33741,0.78463,0.81369,0.35463,0.41257,0.22533,1.57721,0.88793,0.85245,0.00038375,0.00038375,0.00038375
30,1257.88,0.5558,0.33429,0.78049,0.78601,0.3673,0.40137,0.22418,1.55354,0.92393,0.85292,0.000352812,0.000352812,0.000352812
31,1332.18,0.54176,0.32737,0.77861,0.7972,0.3933,0.43457,0.23833,1.50389,0.79756,0.84718,0.000321875,0.000321875,0.000321875
32,1402.84,0.53023,0.32244,0.77617,0.77641,0.34754,0.4079,0.2207,1.56846,0.86858,0.85458,0.000290937,0.000290937,0.000290937
33,1474.63,0.52552,0.31771,0.77696,0.81286,0.33487,0.3997,0.21257,1.53713,0.87384,0.85063,0.00026,0.00026,0.00026
34,1545.99,0.51985,0.31284,0.77809,0.85569,0.36544,0.41613,0.22929,1.54048,0.83888,0.85243,0.000229063,0.000229063,0.000229063
35,1617.12,0.51148,0.30963,0.77884,0.87257,0.35169,0.42341,0.23267,1.53102,0.86375,0.84459,0.000198125,0.000198125,0.000198125
36,1688.11,0.49817,0.30254,0.77631,0.75687,0.40087,0.41459,0.22978,1.52957,0.88062,0.84947,0.000167188,0.000167188,0.000167188
37,1761.53,0.48927,0.29547,0.7752,0.824,0.34877,0.4114,0.23323,1.50128,0.86582,0.84708,0.00013625,0.00013625,0.00013625
38,1832.63,0.49048,0.29668,0.77323,0.8114,0.34651,0.40595,0.21976,1.52803,0.86886,0.84519,0.000105312,0.000105312,0.000105312
39,1904.21,0.47215,0.28828,0.77505,0.82238,0.33927,0.40301,0.22136,1.53103,0.90346,0.84751,7.4375e-05,7.4375e-05,7.4375e-05
40,1976.15,0.47258,0.28544,0.77395,0.82197,0.35807,0.40815,0.22662,1.51564,0.89018,0.84894,4.34375e-05,4.34375e-05,4.34375e-05
